Method Name,Description
java.awt.image.BandedSampleModel.getSampleDouble,"Returns the sample in a specified band  for a pixel located at (x,y) as a double."
java.awt.image.BandedSampleModel.getSampleFloat,"Returns the sample in a specified band  for the pixel located at (x,y) as a float."
java.awt.image.BandedSampleModel.getSamples,"Returns the samples in a specified band for the specified rectangle  of pixels in an int array, one sample per data array element."
java.awt.image.BandedSampleModel.setDataElements,Sets the data for a single pixel in the specified DataBuffer from a  primitive array of type TransferType.
java.awt.image.BandedSampleModel.setPixel,Sets a pixel in the DataBuffer using an int array of samples for input.
java.awt.image.BandedSampleModel.setPixels,Sets all samples for a rectangle of pixels from an int array containing  one sample per array element.
java.awt.image.BandedSampleModel.setSample,"Sets a sample in the specified band for the pixel located at (x,y)  in the DataBuffer using a double for input."
java.awt.image.BandedSampleModel.setSample,"Sets a sample in the specified band for the pixel located at (x,y)  in the DataBuffer using a float for input."
java.awt.image.BandedSampleModel.setSample,"Sets a sample in the specified band for the pixel located at (x,y)  in the DataBuffer using an int for input."
java.awt.image.BandedSampleModel.setSamples,Sets the samples in the specified band for the specified rectangle  of pixels from an int array containing one sample per data array element.
java.awt.image.BaseMultiResolutionImage.getResolutionVariant,Gets a specific image that is the best variant to represent  this logical image at the indicated size.
java.awt.image.BaseMultiResolutionImage.getResolutionVariants,Gets a readable list of all resolution variants.
java.awt.image.BufferedImage.addTileObserver,Adds a tile observer.
java.awt.image.BufferedImage.coerceData,Forces the data to match the state specified in theisAlphaPremultipliedvariable.
java.awt.image.BufferedImage.copyData,Computes an arbitrary rectangular region of theBufferedImageand copies it into a specifiedWritableRaster.
java.awt.image.BufferedImage.createGraphics,"Creates aGraphics2D, which can be used to draw into  thisBufferedImage."
java.awt.image.BufferedImage.getAlphaRaster,"Returns aWritableRasterrepresenting the alpha  channel forBufferedImageobjects  withColorModelobjects that support a separate  spatial alpha channel, such asComponentColorModelandDirectColorModel."
java.awt.image.BufferedImage.getColorModel,Returns theColorModel.
java.awt.image.BufferedImage.getData,Returns the image as one large tile.
java.awt.image.BufferedImage.getData,Computes and returns an arbitrary region of theBufferedImage.
java.awt.image.BufferedImage.getGraphics,"This method returns aGraphics2D, but is here  for backwards compatibility."
java.awt.image.BufferedImage.getHeight,Returns the height of theBufferedImage.
java.awt.image.BufferedImage.getMinTileX,Returns the minimum tile index in the x direction.
java.awt.image.BufferedImage.getMinTileY,Returns the minimum tile index in the y direction.
java.awt.image.BufferedImage.getMinX,Returns the minimum x coordinate of thisBufferedImage.
java.awt.image.BufferedImage.getMinY,Returns the minimum y coordinate of thisBufferedImage.
java.awt.image.BufferedImage.getNumXTiles,Returns the number of tiles in the x direction.
java.awt.image.BufferedImage.getNumYTiles,Returns the number of tiles in the y direction.
java.awt.image.BufferedImage.getProperty,Returns a property of the image by name.
java.awt.image.BufferedImage.getPropertyNames,"Returns an array of names recognized bygetProperty(String)ornull, if no property names are recognized."
java.awt.image.BufferedImage.getRaster,Returns theWritableRaster.
java.awt.image.BufferedImage.getRGB,Returns an integer pixel in the default RGB color model  (TYPE_INT_ARGB) and default sRGB colorspace.
java.awt.image.BufferedImage.getRGB,"Returns an array of integer pixels in the default RGB color model  (TYPE_INT_ARGB) and default sRGB color space,  from a portion of the image data."
java.awt.image.BufferedImage.getSampleModel,Returns theSampleModelassociated with thisBufferedImage.
java.awt.image.BufferedImage.getSource,Returns the object that produces the pixels for the image.
java.awt.image.BufferedImage.getSources,"Returns aVectorofRenderedImageobjects that are  the immediate sources, not the sources of these immediate sources,  of image data for thisBufferedImage."
java.awt.image.BufferedImage.getSubimage,Returns a subimage defined by a specified rectangular region.
java.awt.image.BufferedImage.getTile,"Returns tile (tileX,tileY)."
java.awt.image.BufferedImage.getTileGridXOffset,"Returns the x offset of the tile grid relative to the origin,  For example, the x coordinate of the location of tile  (0, 0)."
java.awt.image.BufferedImage.getTileGridYOffset,"Returns the y offset of the tile grid relative to the origin,  For example, the y coordinate of the location of tile  (0, 0)."
java.awt.image.BufferedImage.getTileHeight,Returns the tile height in pixels.
java.awt.image.BufferedImage.getTileWidth,Returns the tile width in pixels.
java.awt.image.BufferedImage.getTransparency,Returns the transparency.
java.awt.image.BufferedImage.getType,Returns the image type.
java.awt.image.BufferedImage.getWidth,Returns the width of theBufferedImage.
java.awt.image.BufferedImage.getWritableTile,Checks out a tile for writing.
java.awt.image.BufferedImage.getWritableTileIndices,Returns an array ofPointobjects indicating which tiles  are checked out for writing.
java.awt.image.BufferedImage.hasTileWriters,Returns whether or not any tile is checked out for writing.
java.awt.image.BufferedImage.isAlphaPremultiplied,Returns whether or not the alpha has been premultiplied.
java.awt.image.BufferedImage.isTileWritable,Returns whether or not a tile is currently checked out for writing.
java.awt.image.BufferedImage.releaseWritableTile,Relinquishes permission to write to a tile.
java.awt.image.BufferedImage.removeTileObserver,Removes a tile observer.
java.awt.image.BufferedImage.setData,"Sets a rectangular region of the image to the contents of the  specifiedRaster r, which is  assumed to be in the same coordinate space as theBufferedImage."
java.awt.image.BufferedImage.setRGB,Sets a pixel in thisBufferedImageto the specified  RGB value.
java.awt.image.BufferedImage.setRGB,"Sets an array of integer pixels in the default RGB color model  (TYPE_INT_ARGB) and default sRGB color space,  into a portion of the image data."
java.awt.image.BufferedImage.toString,Returns aStringrepresentation of thisBufferedImageobject and its values.
java.awt.image.BufferedImageFilter.getBufferedImageOp,Returns theBufferedImageOp.
java.awt.image.BufferedImageFilter.imageComplete,Filters the information provided in theimageCompletemethod of theImageConsumerinterface.
java.awt.image.BufferedImageFilter.setColorModel,Filters the information provided in thesetColorModelmethod  of theImageConsumerinterface.
java.awt.image.BufferedImageFilter.setDimensions,Filters the information provided in thesetDimensionsmethod  of theImageConsumerinterface.
java.awt.image.BufferedImageFilter.setPixels,Filters the information provided in thesetPixelsmethod of theImageConsumerinterface which takes  an array of bytes.
java.awt.image.BufferedImageFilter.setPixels,Filters the information provided in thesetPixelsmethod of theImageConsumerinterface which takes  an array of integers.
java.awt.image.BufferStrategy.show,Makes the next available buffer visible by either copying the memory  (blitting) or changing the display pointer (flipping).
java.awt.image.ByteLookupTable.getTable,Returns the lookup table data by reference.
java.awt.image.ByteLookupTable.lookupPixel,"Returns an array of samples of a pixel, translated with the lookup  table."
java.awt.image.ColorConvertOp.createCompatibleDestImage,"Creates a zeroed destination image with the correct size and number of  bands, given this source."
java.awt.image.ColorConvertOp.createCompatibleDestRaster,"Creates a zeroed destination Raster with the correct size and number of  bands, given this source."
java.awt.image.ColorConvertOp.filter,ColorConverts the source BufferedImage.
java.awt.image.ColorConvertOp.filter,ColorConverts the image data in the source Raster.
java.awt.image.ColorConvertOp.getBounds2D,"Returns the bounding box of the destination, given this source."
java.awt.image.ColorConvertOp.getICC_Profiles,Returns the array of ICC_Profiles used to construct this ColorConvertOp.
java.awt.image.ColorConvertOp.getPoint2D,Returns the location of the destination point given a  point in the source.
java.awt.image.ColorConvertOp.getRenderingHints,Returns the rendering hints used by this op.
java.awt.image.ColorModel.coerceData,"Forces the raster data to match the state specified in theisAlphaPremultipliedvariable, assuming the data is  currently correctly described by thisColorModel."
java.awt.image.ColorModel.createCompatibleSampleModel,Creates aSampleModelwith the specified width and  height that has a data layout compatible with thisColorModel.
java.awt.image.ColorModel.createCompatibleWritableRaster,Creates aWritableRasterwith the specified width and  height that has a data layout (SampleModel) compatible  with thisColorModel.
java.awt.image.ColorModel.equals,This method simply delegates to the default implementation inObjectwhich is identical to an==test since this class cannot enforce the  issues of a proper equality test among multiple independent subclass  branches.
java.awt.image.ColorModel.getAlpha,"Returns the alpha component for the specified pixel, scaled  from 0 to 255."
java.awt.image.ColorModel.getAlphaRaster,"Returns aRasterrepresenting the alpha channel of an  image, extracted from the inputRaster, provided that  pixel values of thisColorModelrepresent color and  alpha information as separate spatial bands (e.g."
java.awt.image.ColorModel.getBlue,"Returns the blue color component for the specified pixel, scaled  from 0 to 255 in the default RGB ColorSpace, sRGB."
java.awt.image.ColorModel.getBlue,"Returns the blue color component for the specified pixel, scaled  from 0 to 255 in the default RGBColorSpace, sRGB."
java.awt.image.ColorModel.getColorSpace,Returns theColorSpaceassociated with thisColorModel.
